Class_ID,Meaning_1,Meaning_2,Meaning_3,Meaning_4,Meaning_5,Meaning_6,Meaning_7,Meaning_8,Meaning_9,Meaning_10,Meaning_11,Meaning_12,Meaning_13,Meaning_14,Meaning_15,Meaning_16,Meaning_17,Meaning_18,Meaning_19,Meaning_20,Meaning_21,Meaning_22,Meaning_23,Meaning_24,Meaning_25,Meaning_26,Meaning_27,Meaning_28,Meaning_29,Meaning_30,Meaning_31,Meaning_32,Meaning_33,Meaning_34,Meaning_35,Meaning_36,Meaning_37,Meaning_38,Meaning_39,Meaning_40,Meaning_41,Meaning_42,Meaning_43,Meaning_44,Meaning_45,Meaning_46,Meaning_47,Meaning_48,Meaning_49,Meaning_50,Meaning_51,Meaning_52,Meaning_53,Meaning_54,Meaning_55,Meaning_56,Meaning_57,Meaning_58,Meaning_59,Meaning_60,Meaning_61,Meaning_62,Meaning_63,Meaning_64,Meaning_65,Meaning_66,Meaning_67,Meaning_68,Meaning_69,Meaning_70,Meaning_71,Meaning_72,Meaning_73,Meaning_74,Meaning_75,Meaning_76,Meaning_77,Meaning_78,Meaning_79,Meaning_80,Meaning_81,Meaning_82,Meaning_83,Meaning_84,Meaning_85,Meaning_86,Meaning_87,Meaning_88,Meaning_89,Meaning_90,Meaning_91,Meaning_92,Meaning_93,Meaning_94,Meaning_95,Meaning_96,Meaning_97,Meaning_98,Meaning_99,Meaning_100,Meaning_101,Meaning_102,Meaning_103,Meaning_104,Meaning_105,Meaning_106,Meaning_107,Meaning_108,Meaning_109,Meaning_110,Meaning_111,Meaning_112,Meaning_113,Meaning_114,Meaning_115,Meaning_116,Meaning_117,Meaning_118,Meaning_119,Meaning_120,Meaning_121,Meaning_122,Meaning_123,Meaning_124,Meaning_125,Meaning_126,Meaning_127,Meaning_128,Meaning_129,Meaning_130,Meaning_131,Meaning_132,Meaning_133,Meaning_134,Meaning_135,Meaning_136,Meaning_137,Meaning_138,Meaning_139,Meaning_140,Meaning_141,Meaning_142,Meaning_143,Meaning_144,Meaning_145,Meaning_146,Meaning_147,Meaning_148,Meaning_149,Meaning_150,Meaning_151,Meaning_152,Meaning_153,Meaning_154,Meaning_155,Meaning_156,Meaning_157,Meaning_158,Meaning_159,Meaning_160,Meaning_161,Meaning_162,Meaning_163,Meaning_164,Meaning_165,Meaning_166,Meaning_167,Meaning_168,Meaning_169,Meaning_170,Meaning_171,Meaning_172,Meaning_173,Meaning_174,Meaning_175,Meaning_176,Meaning_177,Meaning_178,Meaning_179,Meaning_180,Meaning_181,Meaning_182,Meaning_183,Meaning_184,Meaning_185,Meaning_186,Meaning_187,Meaning_188,Meaning_189,Meaning_190,Meaning_191,Meaning_192,Meaning_193,Meaning_194,Meaning_195,Meaning_196,Meaning_197,Meaning_198,Meaning_199,Meaning_200,Meaning_201,Meaning_202,Meaning_203,Meaning_204,Meaning_205,Meaning_206,Meaning_207,Meaning_208,Meaning_209,Meaning_210,Meaning_211,Meaning_212,Meaning_213,Meaning_214,Meaning_215,Meaning_216,Meaning_217,Meaning_218,Meaning_219,Meaning_220,Meaning_221,Meaning_222,Meaning_223,Meaning_224,Meaning_225,Meaning_226,Meaning_227,Meaning_228,Meaning_229,Meaning_230,Meaning_231,Meaning_232,Meaning_233,Meaning_234,Meaning_235,Meaning_236,Meaning_237,Meaning_238,Meaning_239,Meaning_240,Meaning_241,Meaning_242,Meaning_243,Meaning_244,Meaning_245,Meaning_246,Meaning_247,Meaning_248,Meaning_249,Meaning_250,Meaning_251,Meaning_252,Meaning_253,Meaning_254,Meaning_255,Meaning_256,Meaning_257,Meaning_258,Meaning_259,Meaning_260,Meaning_261,Meaning_262,Meaning_263,Meaning_264,Meaning_265,Meaning_266,Meaning_267,Meaning_268,Meaning_269,Meaning_270,Meaning_271,Meaning_272,Meaning_273,Meaning_274,Meaning_275,Meaning_276,Meaning_277,Meaning_278,Meaning_279,Meaning_280,Meaning_281,Meaning_282,Meaning_283,Meaning_284,Meaning_285,Meaning_286,Meaning_287,Meaning_288,Meaning_289,Meaning_290,Meaning_291,Meaning_292,Meaning_293,Meaning_294,Meaning_295,Meaning_296,Meaning_297,Meaning_298,Meaning_299,Meaning_300,Meaning_301,Meaning_302,Meaning_303,Meaning_304,Meaning_305,Meaning_306,Meaning_307,Meaning_308,Meaning_309,Meaning_310,Meaning_311,Meaning_312,Meaning_313,Meaning_314,Meaning_315,Meaning_316,Meaning_317,Meaning_318,Meaning_319,Meaning_320,Meaning_321,Meaning_322,Meaning_323,Meaning_324,Meaning_325,Meaning_326,Meaning_327,Meaning_328,Meaning_329,Meaning_330,Meaning_331,Meaning_332,Meaning_333,Meaning_334,Meaning_335,Meaning_336,Meaning_337,Meaning_338,Meaning_339,Meaning_340,Meaning_341,Meaning_342,Meaning_343,Meaning_344,Meaning_345,Meaning_346,Meaning_347,Meaning_348,Meaning_349,Meaning_350,Meaning_351,Meaning_352,Meaning_353,Meaning_354,Meaning_355,Meaning_356,Meaning_357,Meaning_358,Meaning_359,Meaning_360,Meaning_361,Meaning_362,Meaning_363,Meaning_364,Meaning_365,Meaning_366,Meaning_367,Meaning_368,Meaning_369,Meaning_370,Meaning_371,Meaning_372,Meaning_373,Meaning_374,Meaning_375,Meaning_376,Meaning_377,Meaning_378,Meaning_379,Meaning_380,Meaning_381,Meaning_382,Meaning_383,Meaning_384,Meaning_385,Meaning_386,Meaning_387,Meaning_388,Meaning_389,Meaning_390,Meaning_391,Meaning_392,Meaning_393,Meaning_394,Meaning_395,Meaning_396,Meaning_397,Meaning_398,Meaning_399,Meaning_400,Meaning_401,Meaning_402,Meaning_403,Meaning_404,Meaning_405,Meaning_406,Meaning_407,Meaning_408,Meaning_409,Meaning_410,Meaning_411,Meaning_412,Meaning_413,Meaning_414,Meaning_415,Meaning_416,Meaning_417,Meaning_418
17fed202-9f05-4377-a639-6e5cd0950053,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219d3d3f-3658-44af-9f21-e98257fe32ef,0,0,2,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,1,0,6,14,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21a3d62d-e48e-4161-91b4-4ac43b01cef5,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,5,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,1,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234dd3c9-b6fb-4a81-b2a3-19b7954cc541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76989c24-1abd-4b6a-8c0a-13771328015c,0,0,4,1,1,0,0,0,0,0,0,0,0,1,0,1,1,2,5,0,0,0,0,0,2,10,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7ffdecc2-01ef-44d0-848b-45f51037a2a0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,5,0,0,0,0,0,3,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,1,2,2,3,10,4,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91aeb10e-e26c-49c1-807d-eacc4062db60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b4a5d701-e295-4f6d-a2bd-ff63e2f1cd6a,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,4,0,0,0,0,0,1,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c93b342c-c459-4479-9731-e7650277faa7,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,1,1,2,7,0,0,0,2,0,3,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,4,4,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c9d0657c-f997-4dfb-9d41-97b01bbe12a8,0,0,2,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,4,0,0,0,1,0,2,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
